Date,Open,High,Low,Close,Adj Close,Volume
2008-07-07,11289.190430,11399.110352,11120.740234,11231.959961,11231.959961,248240000
2008-07-08,11225.030273,11391.129883,11174.879883,11384.209961,11384.209961,271500000
2008-07-09,11381.929688,11418.240234,11141.990234,11147.440430,11147.440430,227100000
2008-07-10,11148.009766,11270.299805,11086.950195,11229.019531,11229.019531,248010000
2008-07-11,11226.169922,11241.070313,10977.679688,11100.540039,11100.540039,275010000
2008-07-14,11103.639648,11239.040039,11003.650391,11055.190430,11055.190430,205360000
2008-07-15,11050.799805,11123.669922,10827.709961,10962.540039,10962.540039,331390000
2008-07-16,10961.889648,11244.169922,10918.330078,11239.280273,11239.280273,307590000
2008-07-17,11238.389648,11446.660156,11209.559570,11446.660156,11446.660156,335260000
2008-07-18,11436.559570,11510.820313,11381.929688,11496.570313,11496.570313,378610000
2008-07-21,11495.019531,11559.669922,11423.940430,11467.339844,11467.339844,212850000
2008-07-22,11457.900391,11616.660156,11387.389648,11602.500000,11602.500000,273690000
2008-07-23,11603.389648,11698.169922,11558.290039,11632.379883,11632.379883,264520000
2008-07-24,11630.339844,11634.490234,11345.370117,11349.280273,11349.280273,241140000
2008-07-25,11341.139648,11443.809570,11325.099609,11370.690430,11370.690430,190920000
2008-07-28,11369.469727,11369.549805,11125.129883,11131.080078,11131.080078,197550000
2008-07-29,11133.440430,11398.379883,11128.059570,11397.559570,11397.559570,206930000
2008-07-30,11397.559570,11586.620117,11397.559570,11583.690430,11583.690430,208520000
2008-07-31,11577.990234,11578.889648,11363.690430,11378.019531,11378.019531,220200000
2008-08-01,11379.889648,11425.730469,11267.049805,11326.320313,11326.320313,189700000
2008-08-04,11326.320313,11382.169922,11221.530273,11284.150391,11284.150391,170250000
2008-08-05,11286.019531,11615.929688,11286.019531,11615.769531,11615.769531,234990000
2008-08-06,11603.639648,11685.459961,11521.320313,11656.070313,11656.070313,180060000
2008-08-07,11655.419922,11655.580078,11416.700195,11431.429688,11431.429688,229610000
2008-08-08,11432.089844,11759.959961,11388.040039,11734.320313,11734.320313,212830000
2008-08-11,11729.669922,11867.110352,11675.530273,11782.349609,11782.349609,183190000
2008-08-12,11781.700195,11782.349609,11601.519531,11642.469727,11642.469727,173590000
2008-08-13,11632.809570,11633.780273,11453.339844,11532.959961,11532.959961,182550000
2008-08-14,11532.070313,11718.280273,11450.889648,11615.929688,11615.929688,159790000
2008-08-15,11611.209961,11709.889648,11599.730469,11659.900391,11659.900391,215040000
2008-08-18,11659.650391,11690.429688,11434.120117,11479.389648,11479.389648,156290000
2008-08-19,11478.089844,11478.169922,11318.500000,11348.549805,11348.549805,171580000
2008-08-20,11345.940430,11454.150391,11290.580078,11417.429688,11417.429688,144880000
